Language,BCP - 47
Arabic (Egyptian),ar-EG
Bengali (India),bn-IN
Chinese (Mandarin),zh-CN
Czech (Czech Republic),cs-CZ
Danish (Denmark),da-DK
Dutch (Netherlands),nl-NL
English (US),en-US
Filipino (Philippines),fil-PH
Finnish (Finland),fi-FI
French (France),fr-FR
German (Germany),de-DE
Greek (Greece),el-GR
Gujarati (India),gu-IN
Hindi (India),hi-IN
Hungarian (Hungary),hu-HU
Indonesian (Indonesia),id-ID
Italian (Italy),it-IT
Japanese (Japan),ja-JP
Kannada (India),kn-IN
Korean (South Korea),ko-KR
Malayalam (India),ml-IN
Norwegian (Norway),nb-NO
Polish (Poland),pl-PL
Portuguese (Brazil),pt-BR
Russian (Russia),ru-RU
Slovak (Slovakia),sk-SK
Spanish (Spain),es-ES
Swedish (Sweden),sv-SE
Tamil (India),ta-IN
Telugu (India),te-IN
Thai (Thailand),th-TH
Turkish (Turkey),tr-TR
Ukrainian (Ukraine),uk-UA
Vietnamese (Vietnam),vi-VN